CD_MUN,NM_MUN,pop_total,pop_urbana,pop_rural,health_e2sfca,education_e2sfca,extension_e2sfca,health_pct,education_pct,extension_pct,composite_pct,quintile,underserved
4127502,Tibagi,19961.0,12555.0,7406.0,0.0015787121312513695,0.027852004953221425,0.0001457647162967792,15.288220551378446,23.809523809523807,7.769423558897243,0.2506265664160401,1.0,True
4118451,Pato Bragado,5733.0,4076.0,1657.0,0.0014187506837809415,0.011741038658577042,0.00030052215477832726,10.776942355889723,7.769423558897243,33.08270676691729,0.5012531328320802,1.0,True
4123501,Santa Helena,25492.0,18081.0,7411.0,0.0011451436610440493,0.03869361413730077,0.00023057203130986539,4.010025062656641,37.59398496240601,18.546365914786968,0.7518796992481203,1.0,True
4104501,Capanema,20481.0,14625.0,5856.0,0.001257956688907789,0.04098322625753233,0.00022628414988973077,6.265664160401002,39.097744360902254,17.543859649122805,1.0025062656641603,1.0,True
4126355,Serranópolis do Iguaçu,5007.0,3106.0,1901.0,0.0014009920924008227,0.03765338288902867,0.0002203793496715043,10.526315789473683,35.58897243107769,17.293233082706767,1.2531328320802004,1.0,True
4107538,Entre Rios do Oeste,4575.0,3362.0,1213.0,0.00148351244016266,0.02036762207486724,0.000325580525771502,12.531328320802004,16.290726817042607,38.34586466165413,1.5037593984962405,1.0,True
4116802,Nova Cantu,6790.0,4499.0,2291.0,0.001238970120791401,0.026642020784994405,0.0003421590347397472,5.764411027568922,22.05513784461153,40.35087719298245,1.7543859649122806,1.0,True
4119004,Pérola d'Oeste,6221.0,3576.0,2645.0,0.001349176298463314,0.03811755967778492,0.0002743883451272112,8.771929824561402,36.340852130325814,28.07017543859649,2.0050125313283207,1.0,True
4122305,Rio Negro,31324.0,25735.0,5589.0,0.0010644564355576,0.08078191105445184,6.006787789480477e-05,2.756892230576441,72.68170426065163,0.2506265664160401,2.2556390977443606,1.0,True
4102604,Barracão,9759.0,7318.0,2441.0,0.001269301621040581,0.043746383431437975,0.00026890643581861044,6.7669172932330826,42.35588972431078,26.56641604010025,2.506265664160401,1.0,True
4115853,Mercedes,5931.0,3449.0,2482.0,0.0020519314529776084,0.018719713880021548,0.0002936491152842093,33.08270676691729,13.784461152882205,31.57894736842105,2.882205513784461,1.0,True
4119103,Piên,13655.0,6068.0,7587.0,0.0009491547876314782,0.0852340393958639,8.862755967477707e-05,1.5037593984962405,75.6892230576441,1.2531328320802004,2.882205513784461,1.0,True
4119806,Planalto,14374.0,7770.0,6604.0,0.0014471911456434747,0.044930343523412256,0.000265918486908855,11.528822055137844,43.35839598997494,25.563909774436087,3.258145363408521,1.0,True
4104428,Candói,14973.0,8323.0,6650.0,0.0014642123034973725,0.04238594631800714,0.00027507421839191235,12.030075187969924,41.10275689223057,28.32080200501253,3.508771929824561,1.0,True
4108650,Goioxim,6566.0,2472.0,4094.0,0.0011494525244327045,0.06527332430790059,0.00019905588907794162,4.260651629072681,62.907268170426065,14.536340852130325,3.7593984962406015,1.0,True
4117800,Palmital,13033.0,7416.0,5617.0,0.0009208049165163982,0.0580537871647414,0.0002477215757978307,1.2531328320802004,58.39598997493734,22.55639097744361,4.010025062656641,1.0,True
4122503,Roncador,11251.0,7845.0,3406.0,0.0013591996516740482,0.048201070708643115,0.00027378976643357354,9.523809523809524,46.11528822055138,27.56892230576441,4.260651629072681,1.0,True
4103958,Campina do Simão,3936.0,1546.0,2390.0,0.001342697091620645,0.07557359567817606,0.00014425097698846665,8.521303258145362,68.42105263157895,7.268170426065162,4.511278195488721,1.0,True
4114609,Marechal Cândido Rondon,55836.0,48064.0,7772.0,0.0020241415901788022,0.015935631648047236,0.000358048944109354,32.33082706766917,10.776942355889723,43.10776942355889,4.761904761904762,1.0,True
4101309,Antônio Olinto,7018.0,1211.0,5807.0,0.0010463161099136466,0.08935681269676005,0.00013323955594072843,2.506265664160401,77.94486215538848,6.265664160401002,5.012531328320802,1.0,True
4124004,Santana do Itararé,5514.0,3960.0,1554.0,0.0020326782168522536,0.012240939808953178,0.00037166367626789926,32.83208020050125,8.270676691729323,45.86466165413533,5.263157894736842,1.0,True
4128534,Ventania,9681.0,7121.0,2560.0,0.0019823710901675394,0.04217874115470313,0.0002025066867928283,31.57894736842105,40.6015037593985,15.288220551378446,5.513784461152882,1.0,True
4107850,Flor da Serra do Sul,4364.0,2065.0,2299.0,0.0014004962263127361,0.05674838463054496,0.00023656251723254597,10.275689223057643,57.14285714285714,20.551378446115287,5.764411027568922,1.0,True
4100301,Agudos do Sul,10233.0,4234.0,5999.0,0.0009523340788166793,0.09947480878489179,0.00011542854166867539,1.7543859649122806,82.45614035087719,4.010025062656641,6.015037593984962,1.0,True
4120358,Pranchita,5737.0,4207.0,1530.0,0.0015146654800959317,0.04211434557039708,0.00030886400612932735,13.032581453634084,40.35087719298245,35.08771929824561,6.265664160401002,1.0,True
