CD_MUN,NM_MUN,pop_total,pop_urbana,pop_rural,health_e2sfca,education_e2sfca,extension_e2sfca,health_pct,education_pct,extension_pct,composite_pct,quintile,underserved
4100103,Abatiá,7241.0,5472.0,1769.0,0.0035966784553325033,0.07605495300888619,8.68982300901771e-05,74.43609022556392,69.42355889724311,97.4937343358396,95.48872180451127,5.0,False
4100202,Adrianópolis,6256.0,2072.0,4184.0,0.0007056032625246052,0.0958940299313085,7.944444036218826e-06,0.5012531328320802,80.95238095238095,45.86466165413533,34.58646616541353,2.0,False
4100301,Agudos do Sul,10233.0,4234.0,5999.0,0.0009523340788166793,0.09947480878489179,0.0,1.7543859649122806,82.45614035087719,17.669172932330827,15.288220551378446,1.0,True
4100400,Almirante Tamandaré,119825.0,114555.0,5270.0,0.004386276756453376,0.15586702692280663,1.888332848693849e-05,84.9624060150376,97.24310776942356,64.41102756892231,97.74436090225564,5.0,False
4100459,Altamira do Paraná,3590.0,1944.0,1646.0,0.0011778844933877548,0.04692362520758399,0.0,5.012531328320802,44.86215538847117,17.669172932330827,2.0050125313283207,1.0,True
4100509,Altônia,18742.0,14810.0,3932.0,0.002778231190372199,0.04892895240174111,0.0,51.127819548872175,47.11779448621554,17.669172932330827,27.94486215538847,2.0,False
4100608,Alto Paraná,13909.0,12010.0,1899.0,0.005340217659828409,0.017661246893957278,6.127210370280834e-05,91.72932330827066,12.531328320802004,93.23308270676691,83.20802005012531,5.0,False
4100707,Alto Piquiri,9727.0,8522.0,1205.0,0.0029588220022664807,0.022069268806860345,7.844597991435471e-06,57.64411027568922,17.794486215538846,45.11278195488722,30.576441102756892,2.0,False
4100806,Alvorada do Sul,10326.0,9082.0,1244.0,0.004322132812963264,0.001627857301242187,0.0,83.20802005012531,1.5037593984962405,17.669172932330827,16.040100250626566,1.0,True
4100905,Amaporã,4762.0,4054.0,708.0,0.0028106872921055725,0.020135002670922747,2.0828578400176724e-05,53.1328320802005,15.538847117794486,66.41604010025063,39.849624060150376,2.0,False
4101002,Ampére,19620.0,15840.0,3780.0,0.0018090454249416103,0.0655465237357171,4.7454329109686006e-05,25.81453634085213,63.65914786967418,88.97243107769424,73.55889724310777,4.0,False
4101051,Anahy,2918.0,2365.0,553.0,0.003025103181068702,0.04725859375323954,3.6309143466183747e-06,58.64661654135338,45.11278195488722,37.59398496240601,44.611528822055135,3.0,False
4101101,Andirá,19878.0,18998.0,880.0,0.003719354724429814,0.0753239758178284,0.0,75.18796992481202,67.91979949874687,17.669172932330827,59.899749373433586,4.0,False
4101150,Ângulo,3235.0,2699.0,536.0,0.005691601373560151,0.03024062804058651,4.17264820340009e-05,94.73684210526315,26.81704260651629,84.71177944862156,87.468671679198,5.0,False
4101200,Antonina,18091.0,15692.0,2399.0,0.0016746620299419417,0.15603587458002707,4.3384990415204375e-05,19.298245614035086,97.4937343358396,85.46365914786968,85.46365914786968,5.0,False
4101309,Antônio Olinto,7018.0,1211.0,5807.0,0.0010463161099136466,0.08935681269676005,0.0,2.506265664160401,77.94486215538848,17.669172932330827,13.784461152882205,1.0,True
4101408,Apucarana,130134.0,125919.0,4215.0,0.006021698389615565,0.03608517083010431,1.131238100112348e-05,95.98997493734336,33.83458646616541,53.383458646616546,76.44110275689223,4.0,False
4101507,Arapongas,119138.0,116879.0,2259.0,0.007182131236511736,0.04284769960020311,1.2566093397238729e-05,99.49874686716792,41.60401002506266,54.88721804511278,82.45614035087719,5.0,False
4101606,Arapoti,25777.0,22438.0,3339.0,0.0021875756961303203,0.07206319015092223,6.207277438848358e-06,37.092731829573935,66.9172932330827,41.854636591478695,49.122807017543856,3.0,False
4101655,Arapuã,3527.0,2063.0,1464.0,0.0026050808232913215,0.11944479145181548,0.0,47.368421052631575,87.96992481203007,17.669172932330827,55.388471177944865,3.0,False
4101705,Araruna,14485.0,12297.0,2188.0,0.004208287111104249,0.05410943941083883,3.697382916862362e-05,81.95488721804512,53.383458646616546,81.203007518797,90.72681704260651,5.0,False
4101804,Araucária,151666.0,139682.0,11984.0,0.003840658042386523,0.15122318048014466,1.3440448128317117e-05,77.44360902255639,96.74185463659147,56.390977443609025,93.60902255639097,5.0,False
4101853,Ariranha do Ivaí,2329.0,1046.0,1283.0,0.002068502370580452,0.09693560089181866,0.0,33.33333333333333,81.45363408521304,17.669172932330827,38.095238095238095,2.0,False
4101903,Assaí,13797.0,12461.0,1336.0,0.004027564731437486,0.032748483823428175,4.3259379534665076e-05,80.45112781954887,28.82205513784461,85.21303258145363,82.20551378446115,5.0,False
4102000,Assis Chateaubriand,36808.0,33230.0,3578.0,0.002788652170476874,0.026083925143741027,1.0408741273274579e-05,51.62907268170426,21.553884711779446,52.130325814536334,33.83458646616541,2.0,False
4102109,Astorga,25475.0,23579.0,1896.0,0.005841916277593392,0.03478224267775176,2.4925899966541858e-05,95.48872180451127,32.581453634085214,71.9298245614035,84.58646616541353,5.0,False
4102208,Atalaia,3980.0,3361.0,619.0,0.0053500357989045115,0.020070227604534276,2.5364623168815327e-05,92.23057644110276,15.288220551378446,72.4310776942356,74.93734335839599,4.0,False
4102307,Balsa Nova,13395.0,7353.0,6042.0,0.0018028219533940974,0.12392344220827708,3.5775539307349716e-06,25.31328320802005,89.47368421052632,37.34335839598997,54.761904761904766,3.0,False
4102406,Bandeirantes,31273.0,28776.0,2497.0,0.004347990388463113,0.08440854818092014,3.82134842692092e-05,84.71177944862156,74.93734335839599,81.95488721804512,95.73934837092732,5.0,False
4102505,Barbosa Ferraz,10795.0,8756.0,2039.0,0.003116987342777073,0.05783696968360581,0.0,62.65664160401002,58.1453634085213,17.669172932330827,42.857142857142854,3.0,False
4102604,Barracão,9759.0,7318.0,2441.0,0.001269301621040581,0.043746383431437975,9.129349983222543e-06,6.7669172932330826,42.35588972431078,48.1203007518797,12.531328320802004,1.0,True
4102703,Barra do Jacaré,2814.0,2104.0,710.0,0.004217788893078966,0.0914272373768531,9.809115637813814e-06,82.45614035087719,78.69674185463658,50.125313283208015,88.47117794486216,5.0,False
4102752,Bela Vista da Caroba,4031.0,1536.0,2495.0,0.0016751884161391511,0.04965917147609568,2.7784860974917253e-05,19.548872180451127,48.1203007518797,74.68671679197995,45.11278195488722,3.0,False
